Product name,Product description,Product amount,Product unit cost inc. Tax (€),Product total cost (€),Running total (€ with tax and shipping),Notes,LINKS
"OLED Module 0.91"" 128x32",OLED display module,1,6.8,6.8,6.8,,https://grobotronics.com/oled-module-0.91-128x32-i2c-white.html
Rotary Encoder 12mm 24P/R with Switch,Rotary Encoder with Switch,2,1.2,2.4,9.2,,"https://grobotronics.com/rotary-encoder-12mm-24p-r-with-switch.html"
74AHCT125,Quad Level-Shifter,1,0.5,0.5,9.7,,https://grobotronics.com/74ahct125-quad-level-shifter.html
SK6812,LED SMD 5050 RGB Programmable,10,0.3,3,12.7,,"https://grobotronics.com/led-8mm-rgb-programmable-ws2812-clone.html"
74HCT595D,Shift Register 8-Bit SMD,2,0.8,1.6,14.3,,https://grobotronics.com/shift-register-8-bit-smd-74hct595d.html
Capacitor 1000uF,Electrolytic Capacitor 16V 1000uF,1,0.2,0.2,16.7,with 2.20 shipping from grobotronics for last 6 products,"https://grobotronics.com/electrolytic-capacitor-16v-1000ufoem.html"
Πυκνωτής 100nf,Πυκνωτής Κεραμικός 104(100nf),2,0.05,0.1,16.8,,https://nettop.gr/index.php/hlektronika/capacitors/ceramic-capacitor/pyknotis-keramikos-104-100nf.html
Raspberry Pi Pico,Raspberry Pi Pico without Headers,1,4.2,4.2,21,,https://nettop.gr/index.php/raspberry-pi/pico/raspberry-pi-pico.html?src=raspberrypi
1N4148,Diode - 1N4148 Small Signal Fast Switching Diode,110,0.04,4.4,27.7,with 2.30 shipping from nettop for last 3 products,https://nettop.gr/index.php/hlektronika/diode/diode-1n4148-small-signal-fast-switching-diode.html
Keychron K Pro Switches,"Keychron K Pro Switches Πληκτρολογίου, 110-pack",1,17.48,17.48,45.18,in-store pickup,https://www.public.gr/product/gaming/pc-gaming/pc-gaming-accessories/diafora-pc-gaming-accessories/keychron-k-pro-switches-pliktrologiou-110-pack/2090270
Glorious Stabilizers V2,Glorious Stabilizers V2,1,4.99,4.99,50.17,,https://shopflix.gr/p/SF-12868640/stabilizers-glorious-v2-gata1723-12843162
Mountain Dolomite A Backlit Keycap Set,Mountain Dolomite A Backlit Keycap Set,1,5.25,5.25,60.42,with 5 shipping from shopflix for last 2 products,https://www.skroutz.gr/s/57409660/Mountain-Dolomite-A-Backlit-Keycap-Set.html
PCB,PCB for JLCPCB,42.33,42.33,42.33,102.75,with cheapest shipping,https://shopflix.gr/p/SF-200097568/mountain-dolomite-a-backlit-keycap-set
,,,,,,,https://jlcpcb.com
